Part ID,Part Name,Specification,Manufacturer,O_Bar_Code,Licence_Number,Price,Quantity,Category,F_Bar_Code
P1000,Alternator,Spec 0,Manufacturer B,3312264153,LIC8053,293.8,74,Engine,2.6381E+13
P1001,Spark Plug,Spec 1,Manufacturer A,8544671868,LIC8905,178.97,60,Engine,8.06058E+13
P1002,Brake Pad,Spec 2,Manufacturer B,5492366586,LIC4881,315.34,85,Tire,
P1003,Brake Pad,Spec 3,Manufacturer A,5560975874,LIC5794,477,20,Battery,
P1004,Battery,Spec 4,Manufacturer A,7536944255,LIC9905,142.26,6,Spark Plug,4.35449E+13
P1005,Battery,Spec 5,Manufacturer C,1332856233,LIC3041,362.69,44,Battery,6.42019E+13
P1006,Spark Plug,Spec 6,Manufacturer A,9434417639,LIC9789,269.41,34,Engine,5.86482E+13
P1007,Brake Pad,Spec 7,Manufacturer B,4797215164,LIC8966,409.78,52,Alternator,
P1008,Engine,Spec 8,Manufacturer A,5283484589,LIC3986,438.8,71,Tire,8.40826E+13
P1009,Engine,Spec 9,Manufacturer B,1494152617,LIC2270,227.59,49,Engine,9.03524E+13
P1010,Tire,Spec 10,Manufacturer B,9513517112,LIC6521,412.17,2,Alternator,5.16534E+13
P1011,Alternator,Spec 11,Manufacturer A,5871301131,LIC1983,103.75,41,Brake Pad,
P1012,Brake Pad,Spec 12,Manufacturer A,4552922837,LIC9322,223.72,79,Alternator,9.31246E+13
P1013,Brake Pad,Spec 13,Manufacturer C,1233706995,LIC3292,285.02,51,Tire,5.45769E+13
P1014,Brake Pad,Spec 14,Manufacturer B,7914498412,LIC6046,122.69,17,Brake Pad,8.68632E+13
P1015,Brake Pad,Spec 15,Manufacturer A,5392893697,LIC6432,114.61,99,Brake Pad,5.50686E+13
P1016,Engine,Spec 16,Manufacturer C,1674565082,LIC4590,252.85,49,Brake Pad,
P1017,Engine,Spec 17,Manufacturer A,1921033512,LIC3786,391.78,52,Battery,5.17491E+13
P1018,Spark Plug,Spec 18,Manufacturer C,9498068423,LIC1762,173.03,51,Brake Pad,9.08502E+13
P1019,Brake Pad,Spec 19,Manufacturer A,3949960589,LIC6248,348.37,35,Engine,6.09285E+13
P1020,Spark Plug,Spec 20,Manufacturer B,3051368294,LIC6931,62.85,3,Alternator,6.16086E+13
P1021,Brake Pad,Spec 21,Manufacturer C,9252314373,LIC1246,226.64,20,Brake Pad,4.91097E+13
P1022,Spark Plug,Spec 22,Manufacturer B,9167348498,LIC4902,56.59,62,Battery,4.40738E+13
P1023,Alternator,Spec 23,Manufacturer C,1349094352,LIC1680,62.15,90,Engine,8.96054E+13
P1024,Engine,Spec 24,Manufacturer B,6443648654,LIC1012,460.24,15,Alternator,
P1025,Engine,Spec 25,Manufacturer C,8693827071,LIC3130,223.11,49,Alternator,6.52854E+13
P1026,Spark Plug,Spec 26,Manufacturer B,2679658377,LIC9316,484.57,62,Engine,2.52463E+13
P1027,Spark Plug,Spec 27,Manufacturer A,9851516607,LIC7972,343.21,41,Spark Plug,6.92297E+13
P1028,Tire,Spec 28,Manufacturer C,9389256178,LIC2612,175.2,64,Alternator,7.95877E+13
P1029,Battery,Spec 29,Manufacturer C,8926934809,LIC3613,477.86,70,Tire,
P1030,Engine,Spec 30,Manufacturer B,7229910722,LIC6280,58.87,49,Battery,
P1031,Spark Plug,Spec 31,Manufacturer A,4975819360,LIC2620,283.45,89,Battery,
P1032,Alternator,Spec 32,Manufacturer C,8210456340,LIC6966,439.85,39,Tire,3.18923E+13
P1033,Tire,Spec 33,Manufacturer A,6645166180,LIC9522,126.57,70,Brake Pad,6.57968E+13
P1034,Tire,Spec 34,Manufacturer B,8001210116,LIC3222,89.01,42,Battery,8.64171E+13
P1035,Alternator,Spec 35,Manufacturer B,7993271375,LIC9086,262.51,17,Engine,8.31292E+13
P1036,Alternator,Spec 36,Manufacturer A,5636195527,LIC5463,352.21,46,Brake Pad,4.21094E+13
P1037,Alternator,Spec 37,Manufacturer A,6667577698,LIC3405,108.53,33,Tire,3.18335E+13
P1038,Alternator,Spec 38,Manufacturer A,4985151384,LIC5602,86.04,37,Brake Pad,6.638E+13
P1039,Battery,Spec 39,Manufacturer C,2270825855,LIC6937,407.38,6,Alternator,3.52582E+13
P1040,Brake Pad,Spec 40,Manufacturer A,7185459940,LIC9319,498.85,60,Brake Pad,7.60044E+12
P1041,Engine,Spec 41,Manufacturer B,5990824403,LIC8179,233.34,8,Tire,
P1042,Alternator,Spec 42,Manufacturer C,2074345651,LIC9971,324.82,5,Battery,
P1043,Alternator,Spec 43,Manufacturer C,6612246771,LIC1778,155.25,63,Engine,
P1044,Brake Pad,Spec 44,Manufacturer C,2839398000,LIC9699,322.89,29,Alternator,4.61105E+13
P1045,Tire,Spec 45,Manufacturer A,3032779701,LIC2945,79.46,25,Tire,3.60809E+13
P1046,Alternator,Spec 46,Manufacturer A,5438180440,LIC1781,486.46,50,Spark Plug,1.46167E+13
P1047,Battery,Spec 47,Manufacturer A,1282901023,LIC4872,347.9,33,Brake Pad,3.78505E+12
P1048,Spark Plug,Spec 48,Manufacturer B,4077950207,LIC1091,172.68,5,Engine,
P1049,Battery,Spec 49,Manufacturer A,7916590013,LIC7278,413.16,98,Battery,
P1050,Alternator,Spec 50,Manufacturer A,5511539138,LIC9043,228.92,91,Brake Pad,1.93192E+13
P1051,Brake Pad,Spec 51,Manufacturer B,7616208917,LIC9971,268.02,63,Battery,7.07257E+13
P1052,Tire,Spec 52,Manufacturer B,1838766762,LIC3836,215.5,11,Battery,5.87607E+13
P1053,Tire,Spec 53,Manufacturer A,3893491869,LIC2729,454.57,67,Spark Plug,2.66661E+13
P1054,Battery,Spec 54,Manufacturer A,5286166364,LIC3143,90.83,52,Alternator,4.97572E+12
P1055,Spark Plug,Spec 55,Manufacturer C,2532658178,LIC1179,132.41,82,Engine,3.87691E+13
P1056,Brake Pad,Spec 56,Manufacturer B,9114267624,LIC9282,421.09,46,Battery,9.50312E+13
P1057,Engine,Spec 57,Manufacturer A,5607671567,LIC1177,267.64,19,Engine,1.37164E+13
P1058,Engine,Spec 58,Manufacturer C,3017502227,LIC6189,420.94,7,Spark Plug,6.04262E+13
P1059,Battery,Spec 59,Manufacturer A,4341321094,LIC3140,472.96,96,Brake Pad,6.44016E+12
P1060,Battery,Spec 60,Manufacturer C,5690069156,LIC4821,443.95,52,Engine,3.56403E+13
P1061,Tire,Spec 61,Manufacturer A,5355846163,LIC4603,114.08,16,Engine,6.95286E+13
P1062,Alternator,Spec 62,Manufacturer A,6806845568,LIC4864,53.14,60,Alternator,2.99356E+13
P1063,Engine,Spec 63,Manufacturer A,4918165864,LIC1321,472.47,75,Brake Pad,
P1064,Alternator,Spec 64,Manufacturer A,1479987258,LIC3458,188.92,22,Tire,
P1065,Engine,Spec 65,Manufacturer C,2034525761,LIC3941,85.9,32,Engine,
P1066,Tire,Spec 66,Manufacturer B,8381801318,LIC3928,167.51,88,Brake Pad,
P1067,Tire,Spec 67,Manufacturer B,8204574433,LIC6002,167.75,4,Tire,1.68019E+12
P1068,Engine,Spec 68,Manufacturer B,5907144363,LIC3538,83.71,46,Battery,8.29632E+13
P1069,Battery,Spec 69,Manufacturer A,1264937877,LIC1483,374.13,15,Engine,4.49757E+13
P1070,Alternator,Spec 70,Manufacturer B,9746572550,LIC7773,105.4,5,Alternator,7.04158E+13
P1071,Alternator,Spec 71,Manufacturer A,2058046796,LIC8033,192.93,46,Battery,2.22017E+12
P1072,Brake Pad,Spec 72,Manufacturer C,5392422872,LIC6067,443.24,8,Brake Pad,
P1073,Brake Pad,Spec 73,Manufacturer B,1084601804,LIC7955,72,79,Engine,
P1074,Tire,Spec 74,Manufacturer C,6209346326,LIC5967,498.65,16,Engine,
P1075,Tire,Spec 75,Manufacturer A,2318385693,LIC3150,462.24,77,Spark Plug,
P1076,Alternator,Spec 76,Manufacturer B,9832367462,LIC4709,106.53,18,Brake Pad,
